año,escuela,estado,municipio,comunidad,riesgo,longitud,latitud
2014.0,,Tabasco,Cunduacan,General Francisco J. Mujica,bajo,-93.11,18
2014.0,,Nayarit,Del Nayar,Aguamilpa,alto,-104.71,21.83
2014.0,,Nuevo Leon,Doctor Arroyo,San Jose de Flores,bajo,-100.24,23.55
2014.0,Otras,Nuevo Leon,Doctor Arroyo,Albercones,bajo,-100.22,23.7
2014.0,,Guanajuato,Dolores Hidalgo,San Jose de La Estacada (Fatima),alto,-100.72,21.17
2014.0,,Durango,Durango,Calera,bajo,-104.57,24.11
2014.0,,Durango,Durango,Jesus Gonzalez Ortega,alto,-105.05,24.17
2014.0,Primaria Ignacio Allende,Oaxaca,Ejutla de Crespo,Santa Martha Chichihualtepec,medio,-96.77,16.65
2014.0,Otras,Sinaloa,Elota,El Salado,bajo,-106.84,23.9
2014.0,,Oaxaca,Eloxochitlan de Flores Magon,Plan de Cebolla (Cebollin),medio,-96.89,18.19
2014.0,Otras,Oaxaca,Eloxochitlan de Flores Magon,Pena Colorada,alto,-96.89,18.2
2014.0,,Baja California,Ensenada,Ejido Profesor Graciano Sanchez,bajo,-115.97,30.63
2014.0,Otras,Campeche,Escarcega,Centenario,bajo,-90.29,18.65
2014.0,,Zacatecas,Fresnillo,Erendira,bajo,-103.02,23.21
2014.0,,Coahuila,Frontera,Fresnillo (Nuevo Poblado De Fresnillo),bajo,-101.51,26.92
2014.0,,Chiapas,Frontera Comalapa,La Nueva Independencia,alto,-92.21,15.78
2014.0,Otras,Nuevo Leon,Galeana,La Poza,bajo,-100.04,24.72
2014.0,,Zacatecas,Genaro Codina,Genaro Codina,bajo,-102.46,22.49
2014.0,,Zacatecas,General Enrique Estrada,General Felix U. Gomez (El Muerto),bajo,-102.77,23.05
2014.0,,Zacatecas,General Francisco R. Murguia,El Porvenir (El Porvenir del Carmen),bajo,-103.14,24.02
2014.0,,Zacatecas,General Panfilo Natera,San Rafael,alto,-102.05,22.63
2014.0,,Sonora,General Plutarco Elias Calles,El Desierto de Sonora,bajo,-112.75,31.82
2014.0,,Sinaloa,Guasave,Guayparime,bajo,-108.77,25.74
2014.0,,Oaxaca,Heroica Ciudad de Tlaxiaco,Ojo De Agua,alto,-97.65,17.23
2014.0,Otras,Campeche,Hopelchen,Cancabchen,bajo,-89.63,19.31
2014.0,,Hidalgo,Huazalingo,Santo Tomas (Cuaxahual),bajo,-98.45,20.99
2014.0,,Chiapas,Huehuetan,Canton Huachipilin,alto,-92.43,14.98
2014.0,,Hidalgo,Huehuetla,San Lorenzo Achiotepec,alto,-98.07,20.6
2014.0,Otras,Mexico,Huehuetoca,San Pedro Xalpa,alto,-99.19,19.82
2014.0,,Puebla,Hueytamalco,Mascarillas,alto,-97.2920249296228,19.9414073494695
2014.0,,Puebla,Hueytlalpan,El Arenal,medio,-97.65,20.05
2014.0,,Tabasco,Huimanguillo,Alto Amacohite 3a. Seccion (Km. 32),bajo,-93.53,17.44
2014.0,,Guanajuato,Irapuato,Estancia Del Copal,bajo,-101.24,20.79
2014.0,,Hidalgo,Ixmiquilpan,Naxthey,alto,-99.24,20.6
2014.0,,Chiapas,Ixtapa,Llano Alto,alto,-92.87,16.81
2014.0,,Colima,Ixtlahuacan,Ixtlahuacan,bajo,-103.74,19
2014.0,,Guanajuato,Jerecuaro,Las Pilas de Puruagua,bajo,-100.43,20.03
2014.0,Otras,Aguascalientes,Jesus Maria,Canada el Rodeo,bajo,-102.46,21.9
2014.0,,Chihuahua,Jimenez,San Felipe,bajo,-104.98,27.08
2014.0,,Mexico,Jiquipilco,Col. Benito Juarez,bajo,-99.64,19.62
2014.0,,Tabasco,Jonuta,Monte Grande,medio,-92.26,17.94
2014.0,,Tabasco,Jonuta,Sacrificio,bajo,-92.14,18.08
2014.0,,Quintana Roo,Jose Maria Morelos,San Felipe Segundo,bajo,-88.89,19.83
2014.0,,Chiapas,Juarez,Corozal 1a. Seccion,alto,-93.22,17.64
2014.0,,Michoacan,Jungapeo,Colonia Del Mango (Colonia Nueva),bajo,-100.44,19.48
2014.0,,Michoacan,Jungapeo,La Florida,alto,-100.5,19.36
2014.0,,Yucatan,Kaua,Dzibiac,bajo,-88.44,20.57
2014.0,,Chiapas,La Concordia,Llano Grande,alto,-92.52,16.14
2014.0,,Jalisco,La Huerta,La Concepcion,bajo,-104.56,19.49
2014.0,,Chiapas,La Independencia,Rosario Dos,alto,-91.67,16.19
2014.0,,Veracruz,La Perla,Chilapa,medio,-97.15,18.99
2014.0,,Veracruz,La Perla,San Miguel Pilancon,alto,-97.23,18.98
2014.0,,Chiapas,La Trinitaria,Seis De Marzo,bajo,-92.07,16.01
2014.0,,Chiapas,La Trinitaria,San Lorenzo,alto,-91.828784,16.157203
2014.0,Otras,Chiapas,La Trinitaria,Sacchana,alto,-91.79,16.07
2014.0,,Chiapas,Larrainzar,Bayalemo Dos,bajo,-92.77,16.93
2014.0,,Chiapas,Las Margaritas,Veracruz,bajo,-92,16.4
2014.0,,Quintana Roo,Lazaro Cardenas,San Angel,bajo,-87.43,21.24
2014.0,Otras,Quintana Roo,Lazaro Cardenas,San Antonio,bajo,-87.53,20.82
2014.0,,Durango,Lerdo,El Huarache (El Guarache),bajo,-103.49,25.52
2014.0,,Durango,Lerdo,La Campana,bajo,-103.47,25.39
2014.0,,Durango,Lerdo,Salamanca,bajo,-103.7,25.52
2014.0,,Durango,Lerdo,Villa de Guadalupe,bajo,-103.49,25.52
2014.0,,Nuevo Leon,Los Ramones,Los Ramones,bajo,-99.62,25.7
2014.0,,Tabasco,Macuspana,Alto Tulija 2a. Seccion (Paredon),alto,-92.37,17.62
2014.0,,Guanajuato,Manuel Doblado,Calzada Del Tepozan (El Tepozan),bajo,-101.88,20.74
2014.0,,Guanajuato,Manuel Doblado,Frias,medio,-102,20.8
2014.0,,Colima,Manzanillo,El Huizcolote,bajo,-104.27,19.12
2014.0,Otras,Colima,Manzanillo,Jalipa,bajo,-104.27,19.12
2014.0,Otras,Colima,Manzanillo,Colonia el Garzero,bajo,-104.23,19.06
2014.0,Otras,Colima,Manzanillo,Francisco Villa,bajo,-104.26,19.11
2014.0,,Durango,Mapimi,El Puerto de Jaboncillo,bajo,-103.73,26.02
2014.0,,Chiapas,Maravilla Tenejapa,Nuevo Argentina,alto,-91.21,16.25
2014.0,,Chiapas,Marques de Comillas,La Victoria,bajo,-90.71,16.31
2014.0,,Chiapas,Marques de Comillas,San Isidro,alto,-90.71,16.31
2014.0,,Coahuila,Matamoros,Corea,bajo,-103.2,25.41
2014.0,,Coahuila,Matamoros,Vicente Guerrero,bajo,-103.3,25.49
2014.0,,Coahuila,Matamoros,La Libertad,bajo,-103.25,25.73
2014.0,,Zacatecas,Mazapil,Majoma,bajo,-101.553069536312,24.6413989202787
2014.0,,Zacatecas,Mazapil,Veintiuno De Marzo,bajo,-101.553069536312,24.6413989202787
2014.0,,Guerrero,Metlatonoc,Itia-Ndichikoo,alto,-98.56,17.12
2014.0,,Guerrero,Metlatonoc,Villa de Guadalupe (Tres Rios),bajo,-98.3,17.16
2014.0,,Baja California,Mexicali,Colonia Pacifico,bajo,-115.37,32.46
2014.0,,Baja California,Mexicali,Ejido Doctor Alberto Oviedo Mota (El Indiviso),bajo,-114.98,32.03
2014.0,,Baja California,Mexicali,Colonia 6 Granjas Lazaro Cardenas,bajo,-115.4,32.49
2014.0,Otras,Nuevo Leon,Mier y Noriega,La Presita de Cerros Blancos (La Presita),bajo,-100.18,23.36
2014.0,,Chiapas,Motozintla,Barrio Nuevo,alto,-92.34,15.22
2014.0,,Chiapas,Motozintla,Buenavista,alto,-92.31,15.31
2014.0,,Chiapas,Motozintla,Toquian Cuauhtemoc,alto,-92.39,15.33
2014.0,,Chiapas,Motozintla,Nueva Esperanza,alto,-92.38,15.34
2014.0,Otras,Yucatan,Motul,Kancabchen Uci,bajo,-89.24,21.17
2014.0,,Baja California Sur,Mulege,San Francisco de La Sierra,alto,,
2014.0,Otras,Baja California Sur,Mulege,Francisco J. Mujica (Diaz Ordaz),bajo,-113.45,27.72
2014.0,Otras,Baja California Sur,Mulege,La Base,alto,-113.14,26.86
2014.0,,Chihuahua,Namiquipa,Progreso,bajo,-107.417208945794,29.2603557557309
2014.0,,Coahuila,Ocampo,Chula Vista,bajo,-103.36,27.04
2014.0,,Chiapas,Ocosingo,Campo Alegre,alto,-91.94,16.94
2014.0,,Chiapas,Ocosingo,El Rosario,alto,-92.27,16.67
2014.0,,Chiapas,Ocosingo,,alto,-91.31,16.67
2014.0,,Chiapas,Ocosingo,Ejido Ojo de Agua,alto,-91.31,16.67
2014.0,,Chiapas,Ocosingo,Ejido Santa Elena,alto,-91.31,16.67
2014.0,,Chiapas,Ocotepec,San Antonio Buenavista,alto,-93.21,17.19
2014.0,,Durango,Otaez,Sierra Santa,medio,-106.03,24.59
2014.0,,Quintana Roo,Othon P. Blanco,Francisco J. Mujica,bajo,-88.7429194363859,18.5353959950026
2014.0,,Quintana Roo,Othon P. Blanco,Rio Verde,bajo,-88.7429194363859,18.5353959950026
2014.0,,Quintana Roo,Othon P. Blanco,Veracruz,bajo,-89.09,18.74
2014.0,Otras,Quintana Roo,Othon P. Blanco,Melchor Ocampo,bajo,-88.7429194363859,18.5353959950026
2014.0,,Chiapas,Oxchuc,Balaxil,bajo,-92.34,16.82
