state,variable,value
Queretaro ,¿Se venden refrescos con azúcar (no light)?,0.8057630736392742
Quintana Roo,¿Se venden refrescos con azúcar (no light)?,0.9121725731895224
San Luis Potosi,¿Se venden refrescos con azúcar (no light)?,0.7658450704225352
Sinaloa,¿Se venden refrescos con azúcar (no light)?,0.7579318448883666
Sonora,¿Se venden refrescos con azúcar (no light)?,0.7606635071090048
Tabasco,¿Se venden refrescos con azúcar (no light)?,0.8588039867109635
Tamaulipas,¿Se venden refrescos con azúcar (no light)?,0.8958904109589041
Tlaxcala,¿Se venden refrescos con azúcar (no light)?,0.876
Veracruz,¿Se venden refrescos con azúcar (no light)?,0.8736664795058956
Yucatan,¿Se venden refrescos con azúcar (no light)?,0.883495145631068
Zacatecas,¿Se venden refrescos con azúcar (no light)?,0.6597014925373135
Aguascalientes,¿Se venden otras bebidas envasadas con azúcar como jugos o aguas saborizadas?,0.9377777777777778
Baja California,¿Se venden otras bebidas envasadas con azúcar como jugos o aguas saborizadas?,0.9912739965095986
Baja California Sur,¿Se venden otras bebidas envasadas con azúcar como jugos o aguas saborizadas?,0.985981308411215
Campeche,¿Se venden otras bebidas envasadas con azúcar como jugos o aguas saborizadas?,0.9714285714285714
Chiapas,¿Se venden otras bebidas envasadas con azúcar como jugos o aguas saborizadas?,0.9475524475524476
Chihuahua,¿Se venden otras bebidas envasadas con azúcar como jugos o aguas saborizadas?,0.9747983870967742
Ciudad de Mexico,¿Se venden otras bebidas envasadas con azúcar como jugos o aguas saborizadas?,0.8645437262357415
Coahuila ,¿Se venden otras bebidas envasadas con azúcar como jugos o aguas saborizadas?,0.9675425038639877
Colima,¿Se venden otras bebidas envasadas con azúcar como jugos o aguas saborizadas?,0.9516129032258065
Durango,¿Se venden otras bebidas envasadas con azúcar como jugos o aguas saborizadas?,0.9804469273743017
Estado de Mexico,¿Se venden otras bebidas envasadas con azúcar como jugos o aguas saborizadas?,0.9692337840485988
Guanajuato,¿Se venden otras bebidas envasadas con azúcar como jugos o aguas saborizadas?,0.9427917620137299
Guerrero,¿Se venden otras bebidas envasadas con azúcar como jugos o aguas saborizadas?,0.9539347408829175
Hidalgo,¿Se venden otras bebidas envasadas con azúcar como jugos o aguas saborizadas?,0.9647058823529412
Jalisco,¿Se venden otras bebidas envasadas con azúcar como jugos o aguas saborizadas?,0.9642857142857143
Michoacan,¿Se venden otras bebidas envasadas con azúcar como jugos o aguas saborizadas?,0.9443254817987152
Morelos,¿Se venden otras bebidas envasadas con azúcar como jugos o aguas saborizadas?,0.9006479481641468
Nayarit,¿Se venden otras bebidas envasadas con azúcar como jugos o aguas saborizadas?,0.9748953974895398
Nuevo Leon,¿Se venden otras bebidas envasadas con azúcar como jugos o aguas saborizadas?,0.9809402795425667
Oaxaca,¿Se venden otras bebidas envasadas con azúcar como jugos o aguas saborizadas?,0.9518459069020867
Puebla,¿Se venden otras bebidas envasadas con azúcar como jugos o aguas saborizadas?,0.9592373438527285
Queretaro ,¿Se venden otras bebidas envasadas con azúcar como jugos o aguas saborizadas?,0.9795081967213115
Quintana Roo,¿Se venden otras bebidas envasadas con azúcar como jugos o aguas saborizadas?,0.9753694581280788
San Luis Potosi,¿Se venden otras bebidas envasadas con azúcar como jugos o aguas saborizadas?,0.9466666666666667
Sinaloa,¿Se venden otras bebidas envasadas con azúcar como jugos o aguas saborizadas?,0.9850543478260869
Sonora,¿Se venden otras bebidas envasadas con azúcar como jugos o aguas saborizadas?,0.983358547655068
Tabasco,¿Se venden otras bebidas envasadas con azúcar como jugos o aguas saborizadas?,0.8809034907597536
Tamaulipas,¿Se venden otras bebidas envasadas con azúcar como jugos o aguas saborizadas?,0.9754385964912281
Tlaxcala,¿Se venden otras bebidas envasadas con azúcar como jugos o aguas saborizadas?,0.9616306954436451
Veracruz,¿Se venden otras bebidas envasadas con azúcar como jugos o aguas saborizadas?,0.9285318559556787
Yucatan,¿Se venden otras bebidas envasadas con azúcar como jugos o aguas saborizadas?,0.9527363184079602
Zacatecas,¿Se venden otras bebidas envasadas con azúcar como jugos o aguas saborizadas?,0.8836363636363637
Aguascalientes,"¿Se vende comida chatarra de lunes a jueves (por ejemplo, frituras, dulces, galletas, helados)?*",0.9681528662420382
Baja California,"¿Se vende comida chatarra de lunes a jueves (por ejemplo, frituras, dulces, galletas, helados)?*",0.9846743295019157
Baja California Sur,"¿Se vende comida chatarra de lunes a jueves (por ejemplo, frituras, dulces, galletas, helados)?*",0.9745222929936306
Campeche,"¿Se vende comida chatarra de lunes a jueves (por ejemplo, frituras, dulces, galletas, helados)?*",0.9916317991631799
Chiapas,"¿Se vende comida chatarra de lunes a jueves (por ejemplo, frituras, dulces, galletas, helados)?*",0.9712230215827338
Chihuahua,"¿Se vende comida chatarra de lunes a jueves (por ejemplo, frituras, dulces, galletas, helados)?*",0.984744469870328
Ciudad de Mexico,"¿Se vende comida chatarra de lunes a jueves (por ejemplo, frituras, dulces, galletas, helados)?*",0.9580602883355177
Coahuila ,"¿Se vende comida chatarra de lunes a jueves (por ejemplo, frituras, dulces, galletas, helados)?*",0.9790940766550522
Colima,"¿Se vende comida chatarra de lunes a jueves (por ejemplo, frituras, dulces, galletas, helados)?*",0.9767441860465116
Durango,"¿Se vende comida chatarra de lunes a jueves (por ejemplo, frituras, dulces, galletas, helados)?*",0.9932885906040269
Estado de Mexico,"¿Se vende comida chatarra de lunes a jueves (por ejemplo, frituras, dulces, galletas, helados)?*",0.9866330879504068
Guanajuato,"¿Se vende comida chatarra de lunes a jueves (por ejemplo, frituras, dulces, galletas, helados)?*",0.9804753820033956
Guerrero,"¿Se vende comida chatarra de lunes a jueves (por ejemplo, frituras, dulces, galletas, helados)?*",0.9702823179791976
Hidalgo,"¿Se vende comida chatarra de lunes a jueves (por ejemplo, frituras, dulces, galletas, helados)?*",0.9872013651877133
Jalisco,"¿Se vende comida chatarra de lunes a jueves (por ejemplo, frituras, dulces, galletas, helados)?*",0.9819967266775778
Michoacan,"¿Se vende comida chatarra de lunes a jueves (por ejemplo, frituras, dulces, galletas, helados)?*",0.980720871751886
Morelos,"¿Se vende comida chatarra de lunes a jueves (por ejemplo, frituras, dulces, galletas, helados)?*",0.9497716894977168
Nayarit,"¿Se vende comida chatarra de lunes a jueves (por ejemplo, frituras, dulces, galletas, helados)?*",0.9875
Nuevo Leon,"¿Se vende comida chatarra de lunes a jueves (por ejemplo, frituras, dulces, galletas, helados)?*",0.9851924975320829
Oaxaca,"¿Se vende comida chatarra de lunes a jueves (por ejemplo, frituras, dulces, galletas, helados)?*",0.9713914174252276
Puebla,"¿Se vende comida chatarra de lunes a jueves (por ejemplo, frituras, dulces, galletas, helados)?*",0.9772366331392272
Queretaro ,"¿Se vende comida chatarra de lunes a jueves (por ejemplo, frituras, dulces, galletas, helados)?*",0.9898270600203459
Quintana Roo,"¿Se vende comida chatarra de lunes a jueves (por ejemplo, frituras, dulces, galletas, helados)?*",0.9927536231884058
San Luis Potosi,"¿Se vende comida chatarra de lunes a jueves (por ejemplo, frituras, dulces, galletas, helados)?*",0.978688524590164
Sinaloa,"¿Se vende comida chatarra de lunes a jueves (por ejemplo, frituras, dulces, galletas, helados)?*",0.9880174291938998
Sonora,"¿Se vende comida chatarra de lunes a jueves (por ejemplo, frituras, dulces, galletas, helados)?*",0.9888888888888889
Tabasco,"¿Se vende comida chatarra de lunes a jueves (por ejemplo, frituras, dulces, galletas, helados)?*",0.9584664536741214
Tamaulipas,"¿Se vende comida chatarra de lunes a jueves (por ejemplo, frituras, dulces, galletas, helados)?*",0.9955830388692579
Tlaxcala,"¿Se vende comida chatarra de lunes a jueves (por ejemplo, frituras, dulces, galletas, helados)?*",0.9867424242424242
Veracruz,"¿Se vende comida chatarra de lunes a jueves (por ejemplo, frituras, dulces, galletas, helados)?*",0.967654986522911
Yucatan,"¿Se vende comida chatarra de lunes a jueves (por ejemplo, frituras, dulces, galletas, helados)?*",0.9791666666666666
Zacatecas,"¿Se vende comida chatarra de lunes a jueves (por ejemplo, frituras, dulces, galletas, helados)?*",0.9658119658119658
Aguascalientes,"¿Se venden frutas y verduras todos los días (por ejemplo, manzana, zanahoria, naranja, sandía, pepino)?",0.2611683848797251
Baja California,"¿Se venden frutas y verduras todos los días (por ejemplo, manzana, zanahoria, naranja, sandía, pepino)?",0.1979381443298969
Baja California Sur,"¿Se venden frutas y verduras todos los días (por ejemplo, manzana, zanahoria, naranja, sandía, pepino)?",0.19205298013245034
Campeche,"¿Se venden frutas y verduras todos los días (por ejemplo, manzana, zanahoria, naranja, sandía, pepino)?",0.11555555555555555
Chiapas,"¿Se venden frutas y verduras todos los días (por ejemplo, manzana, zanahoria, naranja, sandía, pepino)?",0.2606707317073171
Chihuahua,"¿Se venden frutas y verduras todos los días (por ejemplo, manzana, zanahoria, naranja, sandía, pepino)?",0.10333604556550041
Ciudad de Mexico,"¿Se venden frutas y verduras todos los días (por ejemplo, manzana, zanahoria, naranja, sandía, pepino)?",0.3861830742659758
Coahuila ,"¿Se venden frutas y verduras todos los días (por ejemplo, manzana, zanahoria, naranja, sandía, pepino)?",0.138442521631644
Colima,"¿Se venden frutas y verduras todos los días (por ejemplo, manzana, zanahoria, naranja, sandía, pepino)?",0.42948717948717946
Durango,"¿Se venden frutas y verduras todos los días (por ejemplo, manzana, zanahoria, naranja, sandía, pepino)?",0.12558139534883722
Estado de Mexico,"¿Se venden frutas y verduras todos los días (por ejemplo, manzana, zanahoria, naranja, sandía, pepino)?",0.2735690235690236
Guanajuato,"¿Se venden frutas y verduras todos los días (por ejemplo, manzana, zanahoria, naranja, sandía, pepino)?",0.26036036036036037
Guerrero,"¿Se venden frutas y verduras todos los días (por ejemplo, manzana, zanahoria, naranja, sandía, pepino)?",0.19844961240310077
Hidalgo,"¿Se venden frutas y verduras todos los días (por ejemplo, manzana, zanahoria, naranja, sandía, pepino)?",0.22644927536231885
Jalisco,"¿Se venden frutas y verduras todos los días (por ejemplo, manzana, zanahoria, naranja, sandía, pepino)?",0.2783641160949868
Michoacan,"¿Se venden frutas y verduras todos los días (por ejemplo, manzana, zanahoria, naranja, sandía, pepino)?",0.2770448548812665
Morelos,"¿Se venden frutas y verduras todos los días (por ejemplo, manzana, zanahoria, naranja, sandía, pepino)?",0.31437598736176936
Nayarit,"¿Se venden frutas y verduras todos los días (por ejemplo, manzana, zanahoria, naranja, sandía, pepino)?",0.3221476510067114
Nuevo Leon,"¿Se venden frutas y verduras todos los días (por ejemplo, manzana, zanahoria, naranja, sandía, pepino)?",0.09124087591240876
Oaxaca,"¿Se venden frutas y verduras todos los días (por ejemplo, manzana, zanahoria, naranja, sandía, pepino)?",0.28091397849462363
Puebla,"¿Se venden frutas y verduras todos los días (por ejemplo, manzana, zanahoria, naranja, sandía, pepino)?",0.24022346368715083
Queretaro ,"¿Se venden frutas y verduras todos los días (por ejemplo, manzana, zanahoria, naranja, sandía, pepino)?",0.28349944629014395
Quintana Roo,"¿Se venden frutas y verduras todos los días (por ejemplo, manzana, zanahoria, naranja, sandía, pepino)?",0.12558139534883722
San Luis Potosi,"¿Se venden frutas y verduras todos los días (por ejemplo, manzana, zanahoria, naranja, sandía, pepino)?",0.15265866209262435
Sinaloa,"¿Se venden frutas y verduras todos los días (por ejemplo, manzana, zanahoria, naranja, sandía, pepino)?",0.24940898345153664
Sonora,"¿Se venden frutas y verduras todos los días (por ejemplo, manzana, zanahoria, naranja, sandía, pepino)?",0.1431980906921241
Tabasco,"¿Se venden frutas y verduras todos los días (por ejemplo, manzana, zanahoria, naranja, sandía, pepino)?",0.10963455149501661
Tamaulipas,"¿Se venden frutas y verduras todos los días (por ejemplo, manzana, zanahoria, naranja, sandía, pepino)?",0.0642791551882461
Tlaxcala,"¿Se venden frutas y verduras todos los días (por ejemplo, manzana, zanahoria, naranja, sandía, pepino)?",0.1927710843373494
Veracruz,"¿Se venden frutas y verduras todos los días (por ejemplo, manzana, zanahoria, naranja, sandía, pepino)?",0.13120365088419852
Yucatan,"¿Se venden frutas y verduras todos los días (por ejemplo, manzana, zanahoria, naranja, sandía, pepino)?",0.06374501992031872
Zacatecas,"¿Se venden frutas y verduras todos los días (por ejemplo, manzana, zanahoria, naranja, sandía, pepino)?",0.1891891891891892
Aguascalientes,"¿Se venden cereales integrales todos los días (por ejemplo, avena, amaranto, palomitas)?",0.09389671361502347
Baja California,"¿Se venden cereales integrales todos los días (por ejemplo, avena, amaranto, palomitas)?",0.09021113243761997
Baja California Sur,"¿Se venden cereales integrales todos los días (por ejemplo, avena, amaranto, palomitas)?",0.09644670050761421
Campeche,"¿Se venden cereales integrales todos los días (por ejemplo, avena, amaranto, palomitas)?",0.06832298136645963
Chiapas,"¿Se venden cereales integrales todos los días (por ejemplo, avena, amaranto, palomitas)?",0.12683823529411764
Chihuahua,"¿Se venden cereales integrales todos los días (por ejemplo, avena, amaranto, palomitas)?",0.05
Ciudad de Mexico,"¿Se venden cereales integrales todos los días (por ejemplo, avena, amaranto, palomitas)?",0.24148296593186372
Coahuila ,"¿Se venden cereales integrales todos los días (por ejemplo, avena, amaranto, palomitas)?",0.08346972176759411
Colima,"¿Se venden cereales integrales todos los días (por ejemplo, avena, amaranto, palomitas)?",0.21551724137931033
Durango,"¿Se venden cereales integrales todos los días (por ejemplo, avena, amaranto, palomitas)?",0.023121387283236993
Estado de Mexico,"¿Se venden cereales integrales todos los días (por ejemplo, avena, amaranto, palomitas)?",0.1382716049382716
Guanajuato,"¿Se venden cereales integrales todos los días (por ejemplo, avena, amaranto, palomitas)?",0.13614457831325302
Guerrero,"¿Se venden cereales integrales todos los días (por ejemplo, avena, amaranto, palomitas)?",0.09561752988047809
Hidalgo,"¿Se venden cereales integrales todos los días (por ejemplo, avena, amaranto, palomitas)?",0.09263392857142858
Jalisco,"¿Se venden cereales integrales todos los días (por ejemplo, avena, amaranto, palomitas)?",0.11020881670533643
Michoacan,"¿Se venden cereales integrales todos los días (por ejemplo, avena, amaranto, palomitas)?",0.11823204419889503
Morelos,"¿Se venden cereales integrales todos los días (por ejemplo, avena, amaranto, palomitas)?",0.17303370786516853
Nayarit,"¿Se venden cereales integrales todos los días (por ejemplo, avena, amaranto, palomitas)?",0.17040358744394618
Nuevo Leon,"¿Se venden cereales integrales todos los días (por ejemplo, avena, amaranto, palomitas)?",0.05998681608437706
Oaxaca,"¿Se venden cereales integrales todos los días (por ejemplo, avena, amaranto, palomitas)?",0.11467116357504216
Puebla,"¿Se venden cereales integrales todos los días (por ejemplo, avena, amaranto, palomitas)?",0.11479944674965421
Queretaro ,"¿Se venden cereales integrales todos los días (por ejemplo, avena, amaranto, palomitas)?",0.09748892171344166
Quintana Roo,"¿Se venden cereales integrales todos los días (por ejemplo, avena, amaranto, palomitas)?",0.0542907180385289
San Luis Potosi,"¿Se venden cereales integrales todos los días (por ejemplo, avena, amaranto, palomitas)?",0.08411214953271028
Sinaloa,"¿Se venden cereales integrales todos los días (por ejemplo, avena, amaranto, palomitas)?",0.10818713450292397
Sonora,"¿Se venden cereales integrales todos los días (por ejemplo, avena, amaranto, palomitas)?",0.0825242718446602
Tabasco,"¿Se venden cereales integrales todos los días (por ejemplo, avena, amaranto, palomitas)?",0.10460251046025104
Tamaulipas,"¿Se venden cereales integrales todos los días (por ejemplo, avena, amaranto, palomitas)?",0.046228710462287104
Tlaxcala,"¿Se venden cereales integrales todos los días (por ejemplo, avena, amaranto, palomitas)?",0.08395061728395062
Veracruz,"¿Se venden cereales integrales todos los días (por ejemplo, avena, amaranto, palomitas)?",0.11673375503162738
Yucatan,"¿Se venden cereales integrales todos los días (por ejemplo, avena, amaranto, palomitas)?",0.061696658097686374
Zacatecas,"¿Se venden cereales integrales todos los días (por ejemplo, avena, amaranto, palomitas)?",0.07777777777777778
Aguascalientes,"¿Se venden semillas todos los días (por ejemplo, cacahuates, almendras, habas, chicharos secos)?",0.07547169811320754
Baja California,"¿Se venden semillas todos los días (por ejemplo, cacahuates, almendras, habas, chicharos secos)?",0.09732824427480916
Baja California Sur,"¿Se venden semillas todos los días (por ejemplo, cacahuates, almendras, habas, chicharos secos)?",0.09045226130653267
Campeche,"¿Se venden semillas todos los días (por ejemplo, cacahuates, almendras, habas, chicharos secos)?",0.050314465408805034
Chiapas,"¿Se venden semillas todos los días (por ejemplo, cacahuates, almendras, habas, chicharos secos)?",0.0865561694290976
Chihuahua,"¿Se venden semillas todos los días (por ejemplo, cacahuates, almendras, habas, chicharos secos)?",0.08
Ciudad de Mexico,"¿Se venden semillas todos los días (por ejemplo, cacahuates, almendras, habas, chicharos secos)?",0.23178137651821862
Coahuila ,"¿Se venden semillas todos los días (por ejemplo, cacahuates, almendras, habas, chicharos secos)?",0.09735973597359736
Colima,"¿Se venden semillas todos los días (por ejemplo, cacahuates, almendras, habas, chicharos secos)?",0.09821428571428571
Durango,"¿Se venden semillas todos los días (por ejemplo, cacahuates, almendras, habas, chicharos secos)?",0.06140350877192982
Estado de Mexico,"¿Se venden semillas todos los días (por ejemplo, cacahuates, almendras, habas, chicharos secos)?",0.12407254740313273
Guanajuato,"¿Se venden semillas todos los días (por ejemplo, cacahuates, almendras, habas, chicharos secos)?",0.12254901960784313
Guerrero,"¿Se venden semillas todos los días (por ejemplo, cacahuates, almendras, habas, chicharos secos)?",0.09036144578313253
Hidalgo,"¿Se venden semillas todos los días (por ejemplo, cacahuates, almendras, habas, chicharos secos)?",0.11211778029445074
Jalisco,"¿Se venden semillas todos los días (por ejemplo, cacahuates, almendras, habas, chicharos secos)?",0.10317002881844381
Michoacan,"¿Se venden semillas todos los días (por ejemplo, cacahuates, almendras, habas, chicharos secos)?",0.08970099667774087
Morelos,"¿Se venden semillas todos los días (por ejemplo, cacahuates, almendras, habas, chicharos secos)?",0.18468468468468469
Nayarit,"¿Se venden semillas todos los días (por ejemplo, cacahuates, almendras, habas, chicharos secos)?",0.08144796380090498
Nuevo Leon,"¿Se venden semillas todos los días (por ejemplo, cacahuates, almendras, habas, chicharos secos)?",0.03148024112525117
Oaxaca,"¿Se venden semillas todos los días (por ejemplo, cacahuates, almendras, habas, chicharos secos)?",0.12520868113522537
Puebla,"¿Se venden semillas todos los días (por ejemplo, cacahuates, almendras, habas, chicharos secos)?",0.13846153846153847
Queretaro ,"¿Se venden semillas todos los días (por ejemplo, cacahuates, almendras, habas, chicharos secos)?",0.10557184750733138
Quintana Roo,"¿Se venden semillas todos los días (por ejemplo, cacahuates, almendras, habas, chicharos secos)?",0.04912280701754386
San Luis Potosi,"¿Se venden semillas todos los días (por ejemplo, cacahuates, almendras, habas, chicharos secos)?",0.06744186046511629
Sinaloa,"¿Se venden semillas todos los días (por ejemplo, cacahuates, almendras, habas, chicharos secos)?",0.06647398843930635
Sonora,"¿Se venden semillas todos los días (por ejemplo, cacahuates, almendras, habas, chicharos secos)?",0.04376012965964344
Tabasco,"¿Se venden semillas todos los días (por ejemplo, cacahuates, almendras, habas, chicharos secos)?",0.07515657620041753
Tamaulipas,"¿Se venden semillas todos los días (por ejemplo, cacahuates, almendras, habas, chicharos secos)?",0.06227106227106227
Tlaxcala,"¿Se venden semillas todos los días (por ejemplo, cacahuates, almendras, habas, chicharos secos)?",0.11779448621553884
Veracruz,"¿Se venden semillas todos los días (por ejemplo, cacahuates, almendras, habas, chicharos secos)?",0.12147380541162925
Yucatan,"¿Se venden semillas todos los días (por ejemplo, cacahuates, almendras, habas, chicharos secos)?",0.04092071611253197
Zacatecas,"¿Se venden semillas todos los días (por ejemplo, cacahuates, almendras, habas, chicharos secos)?",0.040293040293040296
Aguascalientes,¿Hay bebederos o dispensadores de agua funcionando?,0.3770491803278688
Baja California,¿Hay bebederos o dispensadores de agua funcionando?,0.5524002704530088
Baja California Sur,¿Hay bebederos o dispensadores de agua funcionando?,0.2724252491694352
Campeche,¿Hay bebederos o dispensadores de agua funcionando?,0.24890829694323144
Chiapas,¿Hay bebederos o dispensadores de agua funcionando?,0.23873873873873874
Chihuahua,¿Hay bebederos o dispensadores de agua funcionando?,0.6252006420545746
Ciudad de Mexico,¿Hay bebederos o dispensadores de agua funcionando?,0.25128910278446204
